Length,Average Number of Sentences,Complex Sentence
19,1.6,"Editors have so far released two platinum studio albums, selling over 2 million copies between them worldwide."
10,1.0,The only known communal roost contained only four individuals.
20,1.1,"Scholarships, Academic Awards, Flying Eagle Awards and Improvement Awards are given to students with outstanding academic achievements."
10,1.0,Most Australian external territories also observe different time zones.
16,1.1,The term was retroactively coined in contrast to reduced instruction set computer (RISC).
35,1.9,"Alkaloids are produced by a large variety of organisms, including bacteria, fungi, plants, and animals and are part of the group of natural products (also called secondary metabolites)."
33,1.8,"In 1833 parts of Burke County and Buncombe County were combined to form Yancey County, and in 1838 the southern part of what was left of Buncombe County became Henderson County."
34,1.6,"Current awards are voted upon by the membership of the Golden Raspberry Award Foundation (GRAF), and membership is openly available to the public, as opposed to the Academy Awards."
18,1.3,"The show enjoyed a revival on the Game Show Network in 2002, and was renamed Whammy!"
35,1.6,"The town has a total population of 25,000 and is expected to become a major commercial center in concert with the development of the port of Gwadar located nearly 80 km to the east."
41,1.2,"With the Modern Era expansion in the 1967 – 68 season and the creation of the West Division, the Wales Trophy was awarded to the team that finished in first place in the East Division during the regular season."
24,1.6,"The city declined after the war and recovered its importance only in the nineteenth century, when it grew as an industrial center."
16,1.3,They manifest with either neurological complications or with skin problems (or occasionally both).
25,1.4,"The winner of the series advances to play the winner of the National League Championship Series in baseball's championship, the World Series."
24,1.7,"It grows out of the difficulties in assimilating the new culture, causing difficulty in knowing what is appropriate and what is not."
13,1.0,"The name derives from the Nahuatl word for the shrub, achiotl."
14,1.0,"In particular, the ordination of a bishop is often called a consecration."
28,1.4,"The wheel of a ship is the modern method of adjusting the angle of the rudder, in turn changing the direction of the boat or ship."
20,1.3,"She portrayed the character Alexx Woods, a medical examiner in the forensics-related drama CSI: Miami."
15,1.1,"When the island reverted to complete Spanish control, Malabo was renamed Santa Isabel."
11,1.2,76 This association has reinforced the fox's supernatural significance.
35,1.8,"Stephanie Marie McMahon-Levesque (born September 24, 1976) better known by her maiden name Stephanie McMahon, is World Wrestling Entertainment's Executive Vice President, Creative Development & Operations."
29,1.7,The same is true of Apartheid-era South Africa and of parts of Europe at various time periods; most notably under Nazi Germany's Third Reich.
20,1.0,Hakob Kojoyan assisted Armenian architect Alexander Tamanian in creating the coat of arms for the Democratic Republic of Armenia.
30,1.5,"Of the moons discovered by the Voyager 2 imaging team, only Puck was discovered early enough that the probe could be programmed to image it in some detail."
19,1.5,"Dennis Lee Hopper (born May 17, 1936) is an American actor, filmmaker and artist."
25,1.6,"Preparations were pushed ahead for an armed revolt, and he was made commandant of the Third Battalion and adjutant of the Dublin Brigade."
10,1.0,Natural ytterbium is a mix of seven stable isotopes.
15,1.0,He took the post of chief conductor of the Netherlands Radio Philharmonic in 1957.
28,1.3,"12 - hour clock times end with dotted or undotted lower-case or, or or, which are spaced (or, not or)."
14,1.2,"Birmingham is a city in Van Buren County, Iowa, United States."
43,2.1,"Coat of arms The coat of arms of the municipality are taken from the Garbani, or Garban family for its French and Northern American branch, originating from the village and whose certain members illustrated themselves as magistrates and Swiss statesmen."
20,1.0,Davis was responsible for character design for both the Pirates of the Caribbean and Haunted Mansion attractions at Disneyland.
28,1.1,"The Old Testament's examples of killings sanctioned by God are often cited in defense of the view that ""murder"" is a more accurate translation."
18,1.5,The cilia of the respiratory epithelium move the particulate matter towards the pharynx where it is digested.
31,1.5,"It had been intended to build the line past Walthamstow Central to Wood Street (Walthamstow), where it would surface to terminate next to the British Railways station."
19,1.1,"Although alpha, beta, and gamma are most common, other types of decay were eventually discovered."
25,1.0,It is often useful to avoid words with strong connotations (especially disparaging ones) when striving to achieve a neutral point of view.
20,1.7,"Bergman stated that the film would be his last, and that afterwards he would focus on directing theatre."
18,1.1,"The term implies domination or humiliation of a rival, Naone, Erica (November 2008)."
38,2.1,"Best before is usually advisory and refers to the quality of the product, in contrast with Use by and Best by which indicate that the product is no longer safe to consume after the specified date."
25,1.5,It is currently used mostly for football matches and is the home stadium of Union Sportive du Foyer de la Régie Abidjan-Niger.
11,1.1,They had extensive maritime trade contacts with the Roman empire.
34,1.6,"This was an extremely controversial stance within the largely pacifist Greens, because it meant that, for the first time since World War II, German soldiers would actively participate in combat."
9,1.0,A similar disclosure had occurred earlier with RC4.
33,1.8,"Heaven's Gate was an American UFO cult based in San Diego, California and led by Marshall Applewhite (1931 - 1997) and Bonnie Nettles (1927 - 1985)."
21,1.6,"WWE then holds a special wrestling show in an open field, with the troop members in attendance for free."
28,1.7,"Following the death of his father Wossen Seged, Sahle Selassie arrives at the capital Qundi before his other brothers, and is made Meridazmach of Shewa."
11,1.0,It is often responsible for adverse weather throughout the world.
19,1.7,"It is the fastest growing census division in Canada, expected to surpass 1.5 million residents by 2031."
12,1.1,She is the younger sister of singer / songwriter Britney Spears.
31,1.5,"Rick is portrayed as unlikeable and so self-absorbed that he believes he is the ""most popular member of the flat"" even though his housemates hate him."
20,1.4,"Taxis are available from hotels and a taxi rank on Presidential Way, North of City Centre Shopping Centre."
21,1.0,"If he does n't like the way a relationship is going, he tries to ""fizzle"" things out."
41,1.9,"The following two years, the Raiders again won Western Division titles, only to lose the AFL Championship to the eventual Super Bowl winners — the New York Jets (1968) and Kansas City Chiefs (1969)."
15,1.0,The most prominent among the latter were Marcus Junius Brutus and Gaius Cassius Longinus.
17,1.0,Most owners of zombie computers are unaware that their system is being used in this way.
31,1.6,"As well, art rock is ""not so much for dancing as for listening and it often tells a story or there is a philosophical theme to the lyrics."
28,1.5,"This page is about reflecting pools in general; for the pools in Washington, D. C., see Lincoln Memorial Reflecting Pool and Capitol Reflection Pool."
24,1.3,"History The district was created on June 12 1994 by merging the previous districts Pasewalk, Ueckermünde and part of the district Strasburg."
